Scouter,Event,Match-Level,Match-Number,Robot,Team-Number,Auton-Position,Auton-Leave-Start,Auton-Coral-L4,Auton-Coral-L3,Auton-Coral-L2,Auton-Coral-L1,Algae-Removed- from-Reef,Auton-Algae-Processor,Auton-Algae-Net,Teleop-Coral-L4,Teleop-Coral-L3,Teleop-Coral-L2,Teleop-Coral-L1,TeleOp-Removed- from-Reef,Teleop-Algae-Processor,Teleop-Algae-Net,Defense-Played-on-Robot,Ground-Pick-Up,Climb-Status,No-Climb-Reason,Driver-Skill,Defense-Rating,Died-YN,Tipped-YN,Comments
DY,2025mitry,qm,12,b3,5527,c,1,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,n,p,s,a,n,n,,"Elevator was verrrryy slow, "
DY,2025mitry,qm,20,b3,5527,c,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,n,n,s,x,a,n,0,Slow algae
MK,2025mitry,qm,41,r2,5527,c,1,0,0,0,0,0,0,0,0,0,1,0,5,4,4,0,n,n,x,a,n,n,1,Good only with alge
MK,2025mitry,qm,45,r2,5527,o,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,n,p,s,e,i,n,0, 
Hc,2025mitry,qm,53,b1,5527,c,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,n,p,s,e,n,n,0, 
KP,2025mitry,qm,57,b2,5527,c,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,n,s,x,a,i,p,0, 
"HBC, V",2025mitry,qm,1,r2,5555,p,,,0,0,0,0,,0,0,0,7,0,,0,0,,,p,,,,,,
"Ag,Kk",2025mitry,qm,8,b3,5555,c,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,n,n,x,e,n,n,n,,Good for lower branches
"Ag,Kk",2025mitry,qm,8,b3,5555,c,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,n,n,x,e,n,n,0,Good for lower branches
MK,2025mitry,qm,16,r1,5555,p,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,s,n,x,i,n,n,0, 
Ap,2025mitry,qm,21,r3,5555,p,1,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0,n,n,s,a,n,n,0, 
Kk,2025mitry,qm,33,r1,5555,p,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,n,p,b,a,n,p,0,Last minute and half of match arm broke.
IC,2025mitry,qm,41,b3,5555,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,x,x,n,n,0,No show
RA,2025mitry,qm,46,b1,5555,o,1,0,0,0,1,0,0,0,0,1,5,1,1,0,0,1,n,n,s,a,n,n,0,HP intake was poor
KP,2025mitry,qm,56,b2,5555,o,1,0,0,0,0,0,0,0,0,2,6,1,2,0,0,0,n,n,s,a,n,p,0, 
SS AT,2025mitry,qm,1,b1,5623,c,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,n,p,t,a,n,n,0,"Very specific intake, long time to line up shots"
ZI,2025mitry,qm,16,r3,5623,c,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,n,s,x,a,n,n,0, 
AA,2025mitry,qm,22,r2,5623,c,1,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,n,p,b,a,n,n,1,Slow mechanism
Kk,2025mitry,qm,38,r1,5623,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,b,x,n,e,0, 
SP,2025mitry,qm,47,b2,5623,c,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,n,p,b,i,n,n,1,"Scoral arm is very snappy, about fall over"
SD,2025mitry,qm,52,r1,5623,p,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,n,d,x,a,n,n,0,Climb took some time because they were adjusting
Vh,2025mitry,qm,57,r2,5623,c,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,n,p,b,i,n,n,0,Robot isn't good at coral. 
KB,2025mitry,qm,13,b1,7716,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,n,n,x,i,n,n,0,Only have L4. Did not do great. 
ZI,2025mitry,qm,17,r3,7716,c,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,n,p,b,i,n,n,0, 
AK,2025mitry,qm,33,r2,7716,o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,s,i,a,p,0,A lot of penelty.
Kk,2025mitry,qm,37,r1,7716,p,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,n,n,s,a,n,n,0, 
SS,2025mitry,qm,47,r3,7716,p,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,n,n,s,i,n,n,0,"RP penalty, low accurary"
KM,2025mitry,qm,54,b2,7716,p,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,n,n,t,i,n,n,0, 
"Ag,Kk",2025mitry,qm,1,b3,8115,p,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,n,p,b,i,n,,,,Missed lots of coral
SS AT,2025mitry,qm,10,b1,8115,p,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,n,p,b,i,n,n,n,,All around bad
"Ag,Kk",2025mitry,qm,1,b3,8115,p,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,n,p,b,i,n,n,1,Missed lots of coral
DY,2025mitry,qm,19,b3,8115,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,x,i,a,n,0,"Not a good alliance, delicate"
AK,2025mitry,qm,32,r2,8115,p,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,n,p,b,a,a,p,0, 
SP,2025mitry,qm,44,b2,8115,c,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,n,n,s,i,n,n,0,It took them a while to get coral from the stations. 
SS,2025mitry,qm,49,r3,8115,p,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,n,n,t,i,n,n,0,"Missed pieces, reckless driving"
"Ag,Kk",2025mitry,qm,7,b3,8364,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,x,i,i,,,,Didnt die juset didn't do anything
"Ag,Kk",2025mitry,qm,7,b3,8364,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,x,i,i,e,0,Didnt die juset didn't do anything
SM,2025mitry,qm,3,b2,8364,o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,p,x,a,a,n,0,The robot does not have any kind of way to score elemen
"AG,Kk",2025mitry,qm,16,r2,8364,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,s,i,i,n,0, 
AK,2025mitry,qm,28,r1,8364,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,b,i,i,n,0,Penalty in the end
CG,2025mitry,qm,34,r3,8364,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,t,i,n,n,0,Didn't do anything despite being defense bot 
Ag,2025mitry,qm,40,b3,8364,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,b,i,n,n,0, 
MK,2025mitry,qm,47,r2,8364,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n,n,b,i,i,p,0,Very bad over all 
KM,2025mitry,qm,53,b2,8364,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n,p,b,i,a,n,0, 
SD,2025mitry,qm,60,r1,8364,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,p,s,x,n,n,0, 
MK,2025mitry,qm,13,r1,8728,c,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,n,n,t,a,i,n,1,Was very slow at times
SS at,2025mitry,qm,3,b1,8728,c,1,0,0,0,1,0,0,0,5,2,0,1,0,0,0,0,n,p,s,i,n,n,0,"Long time to score, appears something fell off/broke"
AA,2025mitry,qm,21,r2,8728,c,1,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,n,p,t,a,n,n,1, 
RJ AT,2025mitry,qm,39,r3,8728,c,1,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,n,p,t,a,n,n,0, 
KB,2025mitry,qm,45,r1,8728,c,1,1,0,0,0,0,0,0,6,2,2,0,0,0,0,0,n,n,t,a,n,n,0,It was sort of slow in placing.
Vh,2025mitry,qm,52,r2,8728,c,1,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,n,n,s,e,n,n,0,They had smooth driving but it was slow.
"HBC, V",2025mitry,qm,8,r2,9237,p,,0,0,0,0,0,0,0,4,0,0,0,,0,0,,,,,,,,,"quick but misses, l4s"
"Ag,Kk",2025mitry,qm,3,b3,9237,p,1,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,n,d,x,e,n,n,0, 
MK,2025mitry,qm,19,r1,9237,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,x,i,n,n,1,Had trouble with intake
VR,2025mitry,qm,27,b2,9237,c,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,n,d,x,a,n,n,0, 
VR,2025mitry,qm,27,b2,9237,c,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,n,d,x,a,n,n,0, 
TV,2025mitry,qm,31,b1,9237,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,p,b,a,a,n,0, 
IC,2025mitry,qm,43,b3,9237,c,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,n,d,x,a,n,n,0,"Their hold on coral was very loose, they dropped some w"
DSRD,2025mitry,qm,59,r3,9237,c,1,0,0,0,1,0,0,0,5,0,0,2,0,0,0,0,n,s,x,e,n,n,0, 
RJ TV,2025mitry,qm,10,r1,9245,p,1,0,1,0,0,0,0,0,5,4,2,3,0,0,0,n,d,x,a,n,n,n,, 
SS AT,2025mitry,qm,4,b1,9245,p,1,0,1,1,0,0,0,0,0,5,4,5,2,0,0,0,n,d,x,a,n,n,0,Very fast
JSD,2025mitry,qm,25,b3,9245,p,1,0,2,1,0,1,0,0,0,4,4,2,3,1,0,0,n,d,x,a,n,n,0, 
BN,2025mitry,qm,30,b3,9245,p,1,0,2,1,0,1,0,0,0,3,7,0,2,0,0,1,n,p,s,e,n,n,0, 
KP,2025mitry,qm,37,r2,9245,o,1,0,1,0,0,1,0,0,0,3,2,0,1,0,0,0,n,d,x,e,n,p,0, 
SP,2025mitry,qm,46,b2,9245,p,1,2,0,0,0,0,0,0,0,8,6,1,4,0,0,0,n,p,t,e,n,n,0,"Extremely fast cycle time, counted around 7 seconds cyc"
DSRD,2025mitry,qm,55,r3,9245,o,1,0,1,0,0,0,0,0,0,7,5,3,0,0,0,0,n,n,s,e,n,n,0, 
SS AT,2025mitry,qm,5,b1,9252,c,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,n,n,t,i,n,,,,Crashed into robots and walls a lot
SS AT,2025mitry,qm,5,b1,9252,c,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,n,n,t,i,n,n,0,Crashed into robots and walls a lot
ZI,2025mitry,qm,20,r3,9252,p,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,n,n,t,i,i,n,0, 
AK,2025mitry,qm,34,r2,9252,p,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,n,n,s,a,n,n,0, 
TV,2025mitry,qm,38,b1,9252,c,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,n,p,b,a,a,n,0,Defended
SA,2025mitry,qm,55,b3,9252,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n,p,s,i,a,n,0, 
"CN,RA",2025mitry,qm,5,r3,9558,c,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,s,n,s,a,n,,,,"No coral station intake, got stuck on algae ~10s"
KP,2025mitry,qm,12,b2,9558,p,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,n,p,t,a,n,p,,Only took algaes
"AG,Kk",2025mitry,qm,17,r2,9558,c,1,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,s,p,b,a,n,n,0,Ground intake is fast but only do L1
DH,2025mitry,qm,30,b1,9558,c,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,n,p,t,x,n,n,0,Should be +1 algae but rules broke. Parts fell off
RA,2025mitry,qm,41,b1,9558,o,1,0,0,0,1,0,0,0,0,0,0,2,0,8,0,0,s,n,s,a,n,n,0, 
RA,2025mitry,qm,47,b1,9558,o,1,0,0,0,1,0,0,0,0,0,0,2,0,3,0,1,s,n,t,a,n,n,0, 
SA,2025mitry,qm,52,b3,9558,c,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,n,n,t,i,n,n,1, 
SD,2025mitry,qm,56,r1,9558,c,1,0,0,0,1,1,0,0,0,0,0,4,2,6,0,0,f,n,t,a,n,n,0,Takes an algae off while putting L1 coral
RJ TV,2025mitry,qm,7,r1,9747,p,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,n,n,t,a,a,,,,Robot speed slow
KP,2025mitry,qm,11,b2,9747,o,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,n,p,b,i,n,p,p,,It was a little tippy but not that much
KP,2025mitry,qm,15,b2,9747,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n,p,b,a,a,p,1, 
JSD,2025mitry,qm,22,b3,9747,o,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,n,n,s,a,a,n,0, 
Kk,2025mitry,qm,36,r1,9747,p,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,n,n,t,a,n,n,0,"Attempted to score L1 many times, missed"
IC,2025mitry,qm,42,b3,9747,o,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,n,n,s,a,a,n,0, 
MK,2025mitry,qm,49,r2,9747,c,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,n,p,s,a,n,p,0, 
SA,2025mitry,qm,56,b3,9747,c,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,n,p,s,i,n,n,0, 
SM DH,2025mitry,qm,7,b2,9751,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,s,a,a,,,,"Coral got stuck on chassis, forced to play defense"
"AG,Kk",2025mitry,qm,19,r2,9751,p,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,n,p,b,i,n,n,0,"Claw is bad, taking from coral station is bad"
Sp,2025mitry,qm,25,b1,9751,o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,s,i,i,n,0,Started spinning randomly. 
AK,2025mitry,qm,29,r1,9751,c,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,n,n,s,i,n,n,0,The arm collapsed last min
KB,2025mitry,qm,41,r1,9751,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,s,i,n,n,0, 
SS,2025mitry,qm,46,r3,9751,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,p,t,i,n,n,0,Missed all shots + jank movement 
VH,2025mitry,qm,50,r2,9751,p,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,n,n,s,i,n,n,0,Both L1 were flukes. Shouldn't even have made it
"HBC, V",2025mitry,qm,7,r2,9776,c,1,0,0,0,0,1,0,0,0,0,0,10,,0,0,,,,,,,,,"center start, only l1s, driver was pretty quick"
Zi,2025mitry,qm,14,r3,9776,o,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,n,n,b,i,n,e,0, 
AT,2025mitry,qm,21,r1,9776,o,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,n,p,s,a,n,n,0,Agile
AT,2025mitry,qm,25,r1,9776,c,1,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,n,n,t,a,n,n,0, 
TV,2025mitry,qm,33,b1,9776,o,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,1,n,p,s,a,n,p,0, 
SS,2025mitry,qm,44,r3,9776,o,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,n,p,s,e,n,n,0,"very efficient, missed maybe 2-3 shots"
IC,2025mitry,qm,49,b3,9776,c,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,n,n,s,a,n,n,0, 
Hc,2025mitry,qm,57,b1,9776,o,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,n,n,t,a,n,n,0, 
"CN,RA",2025mitry,qm,8,r3,10612,c,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,n,n,s,a,n,n,n,,Kitbot
"HBC, V ",2025mitry,qm,3,r2,10612,c,,,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,
KB,2025mitry,qm,15,b1,10612,c,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,n,n,x,a,n,n,0,They were VERY slow and got blocked.
Ap ,2025mitry,qm,23,r3,10612,c,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,n,n,b,a,n,n,0, 
DR,2025mitry,qm,29,b3,10612,c,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,s,p,t,i,n,n,0,No elevator.
Kk,2025mitry,qm,39,r1,10612,p,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,n,p,b,i,n,n,0,Inconsistent on L1
MK,2025mitry,qm,44,r2,10612,c,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,n,p,b,a,n,n,0,Only had tiny intake
Hc,2025mitry,qm,55,b1,10612,o,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,n,p,s,a,n,n,0, 
"HBC, V",2025mitry,qm,6,r2,10652,c,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,x,,,,,,"center, moved but nothing in auton, trough farmer"
Zi,2025mitry,qm,11,r3,10652, ,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,n,n,b,a,i,n,n,, 
MK,2025mitry,qm,11,r1,10652,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,x,x,n,n,n,, 
ZI,2025mitry,qm,18,r3,10652,c,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,n,n,b,x,n,p,0,They got stuck the majority of the match
Sp,2025mitry,qm,22,b1,10652,c,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,n,n,s,a,n,n,0, 
BN,2025mitry,qm,33,b3,10652,c,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,n,n,s,a,n,p,1,Got stuck on a coral for 5 seconds.
SP,2025mitry,qm,41,b2,10652,c,1,0,0,0,1,0,0,0,0,0,0,7,3,0,0,0,n,n,s,a,n,n,0,Can only do L1
KB,2025mitry,qm,48,r1,10652,c,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,n,n,t,i,n,n,0,Only got L1s. Removed a placed coral from the reef.
KP,2025mitry,qm,55,b2,10652,p,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,n,p,t,a,n,p,0, 
KP,2025mitry,qm,59,b2,10652,p,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,n,p,s,a,n,p,1,"Too tippy, but tippy in this case is advantageous "
DY,2025mitry,qm,14,b3,10672,c,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,n,n,s,i,n,n,0,They were not a strong team
"Ag,Kk",2025mitry,qm,9,b3,10672,c,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,n,p,t,a,n,n,0, 
RJ TV,2025milac,qm,5,r1,10672,p,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,n,p,b,a,n,n,0,Robot speed slow
Ap,2025mitry,qm,22,r3,10672,p,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,n,n,x,a,n,n,0, 
AK,2025mitry,qm,30,r1,10672,c,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,n,p,s,i,n,n,0,Only can score on  L1 
AK,2025mitry,qm,35,r2,10672,c,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,n,n,s,a,n,n,1, 
RA,2025mitry,qm,42,b1,10672,c,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,n,n,s,a,n,n,0, 
HC,2025mitry,qm,50,b1,10672,c,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,n,n,t,a,n,n,0, 
HC,2025mitry,qm,50,b1,10672,c,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,n,n,t,a,n,n,0, 
Vh,2025mitry,qm,59,r2,10672,p,1,0,0,0,0,0,0,0,0,0,0,7,0,0,p,s,x,n,n,0, ,,,
ZI,2025mitry,qm,15,r3,10690,o,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,n,n,s,a,e,n,0,It did defence the for majority of the match 
SM DH,2025mitry,qm,4,b2,10690,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,b,x,a,n,0,Robot code and wiring had issues prior to match
AA,2025mitry,qm,23,r2,10690,p,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,n,p,t,i,i,p,1,Crashed this is by memory
Kk,2025mitry,qm,34,r1,10690,c,1,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,n,p,t,a,n,n,1, 
RJ AT,2025mitry,qm,40,r3,10690,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,p,s,a,e,n,0,"Good defense bot, no penalties"
MK,2025mitry,qm,46,r2,10690,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n,p,b,i,i,n,1,Could not do anything properly
Hc,2025mitry,qm,54,b1,10690,c,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,n,n,t,x,n,n,1, 
SA,2025mitry,qm,59,b3,87281,c,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,n,n,t,i,n,n,0, 
DH,2025mitry,qm,28,b1,5623,o,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,n,p,t,a,n,n,,1
VR,2025mitry,qm,28,b2,7716,c,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,n,n,s,i,n,n,,"Stayed stationary for a while, general kitbox robot"
DR,2025mitry,qm,28,b3,5527,p,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,s,p,t,i,n,n,,Slow elevator
AK,2025mitry,qm,28,r2,5065,o,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,n,n,s,i,n,n,, 
DSRD,2025mitry,qm,28,r3,9747,p,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,n,p,t,i,i,n,, 
